sku_id,Category,name,mrp,discountPercent,availableQuantity,discountedSellingPrice,weightInGms,outOfStock,quantity
1041,Munchies,Kitchens of India Mutter Paneer Mix,12000,30,4,8400,285,FALSE,285
1042,Munchies,Aashirvaad Svasti Cow Ghee Tetra Pack,29500,0,6,29500,500,FALSE,500
1043,Munchies,Weikfield Cooker Cake Mix - Vanilla,9500,0,6,9500,150,FALSE,150
1044,Munchies,Praakritik Organic Kapli Wheat Atta,16500,10,6,14700,1000,FALSE,1
1045,Munchies,Epicurea Sushi Rice,29500,0,6,29500,500,FALSE,500
1046,Munchies,Sugarfree Natural Green Stevia Leaves Zero Calorie,7500,0,2,7500,100,FALSE,100
1047,Munchies,Smith & Jones Italian Spices Masala Mix,9900,0,6,9900,75,FALSE,75
1048,Munchies,Satyam Nighties Spices  Chilli Bore,8900,10,6,8000,100,FALSE,100
1049,Munchies,Weikfield Veg Jelly Crystals - Orange,4500,2,6,4400,90,FALSE,90
1050,Munchies,Praakritik Organic Jumbo Rolled Oats,19000,11,6,16900,500,FALSE,500
1051,Munchies,On1y Sea Salt Grinder,8900,0,6,8900,100,FALSE,100
1052,Munchies,Delight Nuts Berries Mix ,39900,20,6,31900,200,FALSE,200
1053,Munchies,Everest Kesari Milk Masala,20500,0,6,20500,50,FALSE,20
1054,Munchies,Praakritik Organic Ginger Powder,13900,10,6,12500,100,FALSE,100
1055,Munchies,Suhana Mutton Gravy Mix,4500,0,4,4500,80,FALSE,80
1056,Munchies,On1y Salad Seasoning Grinder,13900,0,6,13900,45,FALSE,45
1057,Munchies,Figaro Pure Olive Oil,32500,8,1,29900,200,FALSE,200
1058,Munchies,Madhur Sugar,6000,6,0,5600,1000,TRUE,1
1059,Munchies,Amul Fresh Cream,6300,0,0,6300,250,TRUE,250
1060,Munchies,Madhur Pure And Hygienic Sugar,29500,9,0,26600,5000,TRUE,5
1061,Munchies,Satyam Poha Jada,3500,8,0,3200,500,TRUE,500
1062,Munchies,Aashirvaad Superior MP Whole Wheat Atta,5300,1,0,5200,1000,TRUE,1
1063,Munchies,Fortune Soyabean Oil,21000,13,0,18100,1000,TRUE,1
1064,Munchies,Maggi Masala Ae Magic,5800,6,0,5400,72,TRUE,72
1065,Munchies,Aashirvaad Iodised Salt ,2200,13,0,1900,1000,TRUE,1
